name,year,co2,gdppc,population,annual_devrank,pop_global,pop_fraction,pop_poorer,pop_poorer_fraction,emission_id
Uzbekistan,1900,2.7031,816,3993777,1,773225133,0.005165089479832002,0,0,13056
Uzbekistan,1901,2.7751,834,4030531,1,798567486,0.005047201483482386,0,0,13057
Uzbekistan,1902,2.6803,904,4067623,1,1221038083,0.0033312826656529434,0,0,13058
Uzbekistan,1903,2.6219,840,4105056,1,1232965401,0.0033294170271692806,0,0,13059
Uzbekistan,1904,2.9171,926,4142833,1,1235377937,0.003353494405170035,0,0,13060
Uzbekistan,1905,2.6038,818,4180959,1,1253257166,0.0033360742818206238,0,0,13061
Uzbekistan,1906,2.97,779,4219435,1,1258417173,0.003352969977309742,0,0,13062
Uzbekistan,1907,3.3267,747,4258265,1,1276086362,0.003336972423501224,0,0,13063
Uzbekistan,1908,3.3472,813,4297453,1,1289599838,0.003332392633256519,0,0,13064
Uzbekistan,1909,3.5331,842,4337001,1,1297684935,0.0033421063025594884,0,0,13065
Uzbekistan,1910,3.465,896,4376913,1,1311735174,0.0033367352547641603,0,0,13066
Uzbekistan,1911,3.5925,826,4417193,1,1333314570,0.0033129413713674487,0,0,13067
Uzbekistan,1912,4.0695,890,4457843,1,1340415305,0.003325717770732258,0,0,13068
Uzbekistan,1913,4.4209,932,4498867,1,1364817348,0.003296314343155609,0,0,13069
Uzbekistan,1914,3.9898,888,4540269,1,1368361509,0.0033180332610481225,0,0,13070
Uzbekistan,1915,3.6621,911,4582052,1,1397127371,0.0032796236729084882,0,0,13071
Uzbekistan,1916,3.9031,905,4624219,1,1415009549,0.0032679772396362818,0,0,13072
Uzbekistan,1917,3.5922,782,4666774,1,1426457698,0.003271582470719717,0,0,13073
Tajikistan,1918,0.0932,608,1143053,1,1435036355,7.965324334936448e-4,0,0,11841
Tajikistan,1919,0.0796,523,1153551,1,1448392069,7.964355955058741e-4,0,0,11842
Georgia,1920,0.2084,520,2679577,1,1473278208,0.001818785471372424,0,0,4712
Tajikistan,1921,0.0787,480,1174836,1,1491435663,7.877215418309331e-4,0,0,11844
Armenia,1922,0.154,547,1048337,1,1500009049,6.988871171803178e-4,0,0,446
Armenia,1923,0.1701,593,1057947,1,1512497908,6.994700583744542e-4,0,0,447
Armenia,1924,0.2026,642,1067645,1,1531568519,6.970925471209688e-4,0,0,448
Armenia,1925,0.2,696,1077431,1,1541481755,6.989579970734069e-4,0,0,449
Uzbekistan,1926,2.7775,751,5067835,1,1553643638,0.003261903100587343,0,0,13082
Mozambique,1927,0.044,425,5281475,1,1570931711,0.003362001647186814,0,0,8497
Mozambique,1928,0.022,426,5327289,1,1606163135,0.003316779525013815,0,0,8498
Mozambique,1929,0.011,427,5373501,1,1618371450,0.00332031376356769,0,0,8499
Mozambique,1930,0.011,427,5420114,1,1633547575,0.0033180019259616603,0,0,8500
Mozambique,1931,0.011,428,5467131,1,1666189530,0.0032812179536382035,0,0,8501
Mozambique,1932,0.0623,429,5514556,1,1687599273,0.00326769280375247,0,0,8502
Mozambique,1933,0.055,430,5562392,1,1709454569,0.003253898700129772,0,0,8503
Mozambique,1934,0.066,431,5610643,1,1724774799,0.003252971346318935,0,0,8504
Mozambique,1935,0.0476,432,5659313,1,1745324618,0.003242556107691366,0,0,8505
Mozambique,1936,0.0513,433,5708405,1,1758374888,0.003246409533573821,0,0,8506
Mozambique,1937,0.0586,434,5757923,1,1775228762,0.0032434822616962534,0,0,8507
Mozambique,1938,0.0366,434,5807870,1,1792550458,0.003240003635088748,0,0,8508
Mozambique,1939,0.066,435,5858251,1,1811845107,0.0032333067420426023,0,0,8509
Mozambique,1940,0.066,436,5896184.7,1,1826733937,0.003227719472756475,0,0,8510
Mozambique,1941,0.0586,437,5934558.4,1,1852004274.8,0.0032043977871708098,0,0,8511
Mozambique,1942,0.0293,438,5973377.1,1,1837617956.8,0.0032506087992315593,0,0,8512
Mozambique,1943,0.0476,439,6012644.8,1,1881290565.4,0.0031960213433173683,0,0,8513
Mozambique,1944,0.0586,440,6052364.5,1,1879296192.5,0.0032205484820083783,0,0,8514
Mozambique,1945,0.0513,440,6092541.2,1,1893690753.2,0.003217284126093287,0,0,8515
Mozambique,1946,0.0586,441,6133176.9,1,1979907237.8,0.0030977092173343234,0,0,8516
Mozambique,1947,0.0623,442,6174277.6,1,2027749602.8,0.0030448915346718863,0,0,8517
Mozambique,1948,0.044,443,6215846.3,1,2070388090.3,0.0030022614258273296,0,0,8518
Mozambique,1949,0.055,444,6257888,1,2126082473,0.002943389110945368,0,0,8519
Malawi,1950,0.2214,355,2953871,1,2357668209,0.0012528781567839344,0,0,7645
Malawi,1951,0.2441,363,3008074,1,2402466800,0.0012520772399435447,0,0,7646
Malawi,1952,0.2759,371,3065030,1,2446138150,0.0012530077256674977,0,0,7647
Malawi,1953,0.3016,380,3124731,1,2489311752,0.001255259007831977,0,0,7648
Malawi,1954,0.3325,388,3187172,1,2532717676,0.0012584000302132373,0,0,7649
Malawi,1955,0.3925,387,3252341,1,2576868464,0.0012621292260108158,0,0,7650
Malawi,1956,0.4287,410,3320222,1,2622146521,0.0012662229106609104,0,0,7651
Malawi,1957,0.443,418,3390798,1,2668808514,0.0012705287705028657,0,0,7652
Malawi,1958,0.3992,424,3464050,1,2711040300,0.0012777567341953568,0,0,7653
Malawi,1959,0.4397,429,3539975,1,2767042419,0.0012793352843789563,0,0,7654
Malawi,1960,0.4199,430,3618604,1,2818430789,0.0012839073480615457,0,0,7655
Malawi,1961,0.3562,441,3700032,1,2871545662,0.0012885158153546367,0,0,7656
Malawi,1962,0.3435,429,3784444,1,2926183343,0.00129330378735602,0,0,7657
Malawi,1963,0.3303,411,3872124,1,2983327783,0.001297921073931151,0,0,7658
Malawi,1964,0.3298,391,3963424,1,3043961484,0.0013020611531495976,0,0,7659
Malawi,1965,0.3481,433,4058680,1,3106364718,0.0013065690504665331,0,0,7660
Malawi,1966,0.4287,464,4158132,1,3171616640,0.0013110449565556573,0,0,7661
Malawi,1967,0.3664,496,4262013,1,3239491386,0.0013156426402054955,0,0,7662
Malawi,1968,0.392,477,4370664,1,3309432114,0.0013206688789628395,0,0,7663
Malawi,1969,0.3774,494,4484456,1,3380670241,0.0013264990905097864,0,0,7664
Malawi,1970,0.4543,489,4603739,1,3452886350,0.0013333016303881534,0,0,7665
Malawi,1971,0.502,545,4728693,1,3525513524,0.0013412777933794135,0,0,7666
Malawi,1972,0.5423,585,4859569,1,3599332435,0.0013501306388777618,0,0,7667
Malawi,1973,0.5752,616,4996861,1,3672643031,0.0013605626677633948,0,0,7668
Malawi,1974,0.5496,639,5141138,1,3745766708,0.0013725195402639048,0,0,7669
Mozambique,1975,2.5192,570,10405e3,1,3818467403,0.002724915234794267,0,0,8545
Mozambique,1976,2.5363,527,10693688,1,3890557539,0.0027486261012216327,0,0,8546
Mozambique,1977,2.4712,515,11001909,1,3962203680,0.002776714648854195,0,0,8547
Mozambique,1978,2.1512,504,11320103,1,4033983648,0.0028061846521396706,0,0,8548
Mozambique,1979,2.0256,496,11635174,1,4106714713,0.0028332072747026486,0,0,8549
Mozambique,1980,2.4572,499,11936379,1,4182331029,0.0028540014927641924,0,0,8550
Mozambique,1981,2.1472,498,12228508,1,4258269884,0.0028717080723200117,0,0,8551
Mozambique,1982,2.0359,477,12511864,1,4335710090,0.002885770436740617,0,0,8552
Mozambique,1983,1.9288,437,12766859,1,4415001814,0.002891699604633503,0,0,8553
Mozambique,1984,1.6935,420,12968335,1,4496540404,0.002884069492284273,0,0,8554
Mozambique,1985,1.5989,379,13102982,1,4580503183,0.0028605988199353685,0,0,8555
Mozambique,1986,1.5066,383,13155271,1,4667063159,0.002818747154649338,0,0,8556
Mozambique,1987,1.5066,405,13142516,1,4755857094,0.0027634379545551585,0,0,8557
Mozambique,1988,1.513,441,13124285,1,4845841730,0.00270836022537616,0,0,8558
Mozambique,1989,1.4966,461,13181941,1,4935604733,0.00267078538762719,0,0,8559
Mozambique,1990,1.1203,462,13371971,1,5025487742,0.0026608304878042222,0,0,8560
Liberia,1991,0.2821,439,2066060,1,5112388522,4.041281274123008e-4,0,0,7203
Liberia,1992,0.2858,290,2028672,1,5200949147,3.9005803415135756e-4,0,0,7204
Liberia,1993,0.3188,197,2006349,1,5284700445,3.7965236078768886e-4,0,0,7205
Liberia,1994,0.3151,153,2019148,1,5366852146,3.7622575488778894e-4,0,0,7206
Liberia,1995,0.3298,142,2079921,1,5447482130,3.8181327636590157e-4,0,0,7207
Liberia,1996,0.3408,151,2197801,1,5526464740,3.976866049813972e-4,0,0,7208
Liberia,1997,0.3517,289,2365290,1,5603862586,4.2208208422332645e-4,0,0,7209
Liberia,1998,0.3774,346,2558085,1,5680208531,4.503505436533066e-4,0,0,7210
Liberia,1999,0.3957,397,2741755,1,5756230448,4.7631084696281084e-4,0,0,7211
Liberia,2000,0.425,473,2891968,1,5832492239,4.958374364670972e-4,0,0,7212
"Congo, Dem. Rep.",2001,0.8089,506,49449015,1,5909190142,0.008368154317549798,0,0,2948
"Congo, Dem. Rep.",2002,0.9019,507,50971407,1,5986307520,0.008514665648182405,0,0,2949
Liberia,2003,0.524,474,3124222,1,6063932406,5.152138564256945e-4,0,0,7215
Liberia,2004,0.6156,441,3184643,1,6142094556,5.184946227975328e-4,0,0,7216
Liberia,2005,0.7291,470,3269786,1,6221430017,5.255682360912748e-4,0,0,7217
Liberia,2006,0.7475,499,3384804,1,6300757683,5.372058679756087e-4,0,0,7218
Liberia,2007,0.6705,555,3522337,1,6380729293,5.520273370418945e-4,0,0,7219
Liberia,2008,0.5643,588,3672782,1,6461310037,5.684268327890486e-4,0,0,7220
"Congo, Dem. Rep.",2009,1.9708,607,63845097,1,6542432144,0.009758618139975927,0,0,2956
"Congo, Dem. Rep.",2010,2.1155,632,65938712,1,6624013912,0.009954494793639558,0,0,2957
"Congo, Dem. Rep.",2011,2.5672,657,68087376,1,6706017912,0.010153175385672904,0,0,2958
"Congo, Dem. Rep.",2012,2.4752,685,70291160,1,6788358469,0.010354662371027478,0,0,2959
