name,country
Afghanistan,afghanistan
Albania,albania
Algeria,algeria
Angola,angola
Antigua & Barbuda,antigua_barbuda
Argentina,argentina
Armenia,armenia
Australia,australia
Austria,austria
Azerbaijan,azerbaijan
"Bahamas, The",bahamas_the
Bahrain,bahrain
Bangladesh,bangladesh
Barbados,barbados
Belarus,belarus
Belgium,belgium
Belize,belize
Benin,benin
Bhutan,bhutan
Bolivia,bolivia
Bosnia & Herzegovina,bosnia_herzegovina
Botswana,botswana
Brazil,brazil
Brunei,brunei
Bulgaria,bulgaria
Burkina Faso,burkina_faso
Burundi,burundi
Cambodia,cambodia
Cameroon,cameroon
Canada,canada
Cape Verde,cape_verde
Central African Republic,central_african_republic
Chad,chad
Chile,chile
China,china
Colombia,colombia
Comoros,comoros
"Congo, Dem. Rep.",congo_dem_rep
"Congo, Rep.",congo_rep
Cook Islands,cook_islands
Costa Rica,costa_rica
Cote d'Ivoire,cote_d_ivoire
Croatia,croatia
Cuba,cuba
Cyprus,cyprus
Czech Republic,czech_republic
Denmark,denmark
Djibouti,djibouti
Dominica,dominica
Dominican Republic,dominican_republic
Ecuador,ecuador
Egypt,egypt
El Salvador,el_salvador
Equatorial Guinea,equatorial_guinea
Eritrea,eritrea
Estonia,estonia
Ethiopia,ethiopia
European Union (15),european_union_15
European Union (28),european_union_28
Fiji,fiji
Finland,finland
France,france
Gabon,gabon
"Gambia, The",gambia_the
Georgia,georgia
Germany,germany
Ghana,ghana
Greece,greece
Grenada,grenada
Guatemala,guatemala
Guinea,guinea
Guinea-Bissau,guinea_bissau
Guyana,guyana
Haiti,haiti
Honduras,honduras
Hungary,hungary
Iceland,iceland
India,india
Indonesia,indonesia
Iran,iran
Iraq,iraq
Ireland,ireland
Israel,israel
Italy,italy
Jamaica,jamaica
Japan,japan
Jordan,jordan
Kazakhstan,kazakhstan
Kenya,kenya
Kiribati,kiribati
"Korea, Dem. Rep. (North)",korea_dem_rep_north
"Korea, Rep. (South)",korea_rep_south
Kuwait,kuwait
Kyrgyzstan,kyrgyzstan
Laos,laos
Latvia,latvia
Lebanon,lebanon
Lesotho,lesotho
Liberia,liberia
Libya,libya
Lithuania,lithuania
Luxembourg,luxembourg
"Macedonia, FYR",macedonia_fyr
Madagascar,madagascar
Malawi,malawi
Malaysia,malaysia
Maldives,maldives
Mali,mali
Malta,malta
Mauritania,mauritania
Mauritius,mauritius
Mexico,mexico
Moldova,moldova
Mongolia,mongolia
Montenegro,montenegro
Morocco,morocco
Mozambique,mozambique
Myanmar,myanmar
Namibia,namibia
Nauru,nauru
Nepal,nepal
Netherlands,netherlands
New Zealand,new_zealand
Nicaragua,nicaragua
Niger,niger
Nigeria,nigeria
Niue,niue
Norway,norway
Oman,oman
Pakistan,pakistan
Palau,palau
Panama,panama
Papua New Guinea,papua_new_guinea
Paraguay,paraguay
Peru,peru
Philippines,philippines
Poland,poland
Portugal,portugal
Qatar,qatar
Romania,romania
Russian Federation,russian_federation
Rwanda,rwanda
Saint Kitts & Nevis,saint_kitts_nevis
Saint Lucia,saint_lucia
Saint Vincent & Grenadines,saint_vincent_grenadines
Samoa,samoa
Sao Tome & Principe,sao_tome_principe
Saudi Arabia,saudi_arabia
Senegal,senegal
Serbia,serbia
Seychelles,seychelles
Sierra Leone,sierra_leone
Singapore,singapore
Slovakia,slovakia
Slovenia,slovenia
Solomon Islands,solomon_islands
South Africa,south_africa
Spain,spain
Sri Lanka,sri_lanka
Sudan,sudan
Suriname,suriname
Swaziland,swaziland
Sweden,sweden
Switzerland,switzerland
Syria,syria
Tajikistan,tajikistan
Tanzania,tanzania
Thailand,thailand
Togo,togo
Tonga,tonga
Trinidad & Tobago,trinidad_tobago
Tunisia,tunisia
Turkey,turkey
Turkmenistan,turkmenistan
Uganda,uganda
Ukraine,ukraine
United Arab Emirates,united_arab_emirates
United Kingdom,united_kingdom
United States,united_states
Uruguay,uruguay
Uzbekistan,uzbekistan
Vanuatu,vanuatu
Venezuela,venezuela
Vietnam,vietnam
World,world
Yemen,yemen
Zambia,zambia
Zimbabwe,zimbabwe
